Schools,Students,Income,Property,Welfare,Salary,Instruct,Attend,Passing,,,,,
Bluffton,1132,24487,62678,1.8,31221,2130,95.7,85,,,,,
Shawnee,2472,29777,130910,2.6,34860,2570,94.7,73,,,,,
Spencerville,1026,23161,51645,5.4,30155,2262,95.5,68,,,,,
Delphos,1104,21792,88453,6.2,32273,2506,96.5,65,,,,,
Elida,3204,24446,65550,8.9,32876,2250,94.1,62,,,,,
Lima,5963,18394,44138,33.8,33142,2657,92.3,40,,,,,
Northeastern,1194,26428,88789,1.7,30919,2431,96.1,72,,,,,
Ayersville,921,28228,82707,3.9,32850,2693,95.6,68,,,,,
Defiance,3046,23812,56333,11.2,34750,2438,94.2,63,,,,,
Hicksville,990,22448,56411,7,34224,2351,95.7,59,,,,,
Central,1216,24189,53923,4.6,34430,2496,94.8,56,,,,,
Berlin-Milan,1593,25223,76878,4,32166,2564,96.1,77,,,,,
Perkins,2038,25586,117545,3.3,39352,2861,95.8,74,,,,,
Huron,1494,27135,105588,4.6,33433,2968,95.4,74,,,,,
Margaretta,1560,23849,74601,2.8,37084,2464,95.5,66,,,,,
Sandusky,4426,19529,72425,25.2,36042,2766,93,37,,,,,
Kelleys Island,20,19854,802081,11.4,27144,11226,95,100,,,,,
Pettisville,503,25079,53948,3.9,31159,2834,96.1,78,,,,,
Wauseon,1864,23408,60896,4.9,32499,2252,95.3,75,,,,,
Evergreen,1238,23826,69432,5.2,32353,2250,95,72,,,,,
Archbold-Area,1401,26706,107547,4.1,35982,2837,96.2,69,,,,,
Pike-Delta-York,1559,23396,48638,6.1,31310,2309,94.8,66,,,,,
Gorham-Fayette,487,22405,57221,6.9,33166,2492,94.6,51,,,,,
Swanton,1725,24596,69320,6.3,33690,2615,94.9,50,,,,,
Arlington,685,26175,55478,2.7,31821,2205,96.5,84,,,,,
Vanlue,346,24709,49606,4.1,28411,2420,96.2,83,,,,,
Liberty-Benton,954,28718,77503,1.5,30330,2063,96.7,78,,,,,
Van Buren,840,28964,151992,1.8,33447,2584,96.4,75,,,,,
Cory-Rawson,794,23904,69242,2.4,31241,2416,96.4,73,,,,,
Arcadia,597,24305,78102,2.5,30738,2752,95.9,64,,,,,
McComb,805,23754,69347,5.7,28986,2321,95.9,61,,,,,
Findlay,5758,24269,92648,7.6,35879,2860,94.9,60,,,,,
Ada,855,23029,52655,5.3,28479,2380,95.9,69,,,,,
Kenton,2228,20418,61155,13.8,30907,2512,93.7,54,,,,,
Liberty Center,1009,24723,57685,4.1,30904,2431,95.8,82,,,,,
Patrick Henry,1176,23061,63134,5.2,31895,2552,95.9,75,,,,,
Napoleon Area,2331,25304,84245,6.6,32773,2422,94.6,73,,,,,
Holgate,605,23962,49709,6,31324,2454,94.9,71,,,,,
Monroeville,686,22942,63103,4.3,30838,2474,95.8,64,,,,,
Bellevue,2276,24025,66912,6.9,32164,2374,95.1,55,,,,,
Willard,2300,23304,58832,14.3,35042,2347,94.6,53,,,,,
