RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1,2,49,12,1,0,5,2,22,7,0,3,-1,2,28.4,0,1,4,7,4,0,3,0,0,1,7,1,8,7,0,2,1,1,1,1,1,3,2,1,1,1,0,1,7,3,0,1,3,0,0,0,2,0,2,2,1,0,1,1,1,4,1,0,2,1,0,0,3,2,3,2
2,1,48,20,1,1,2,1,65,23,21,2,40,2,76.4,3,0,4,1,0,1,2,1,1,1,0,1,1,0,3,4,1,2,1,1,1,3,2,2,2,2,0,0,1,2,7,3,2,0,0,0,1,50,3,0,2,0,6,0,1,4,3,3,0,7,1,5,3,2,3,3
3,1,47,13,1,1,1,2,50,18,18,2,35,2,37.8,1,9,1,7,4,0,2,0,0,1,7,2,2,7,0,4,1,1,1,1,2,3,1,1,1,2,0,0,7,2,1,3,2,0,0,0,4,0,3,0,4,0,6,0,1,1,1,0,2,0,1,6,3,2,3,3
4,3,32,10,1,2,1,3,36,17,11,3,-1,0,35.1,0,1,0,1,4,1,3,2,1,7,0,0,-1,1,0,4,1,1,1,1,1,1,2,1,1,2,0,0,1,2,1,0,0,0,1,5,1,18,1,3,1,1,4,1,7,0,0,1,2,1,2,5,3,0,0,0
5,4,37,12,2,2,2,3,42,16,16,2,43,1,29.3,0,0,2,1,0,1,2,2,2,1,0,3,4,0,2,2,1,1,1,2,3,2,1,1,1,3,0,1,1,2,7,4,2,0,0,0,1,18,1,2,3,0,3,1,1,3,1,1,0,7,3,3,3,2,2,3
6,1,72,16,1,3,2,2,71,98,0,2,-1,1,87.9,2,7,2,7,8,0,1,0,0,8,7,1,2,7,2,4,2,1,8,1,3,8,2,2,1,2,0,1,7,8,1,1,3,0,0,0,2,0,2,4,2,1,4,0,8,4,3,0,2,1,-1,-1,0,1,2,3
7,5,21,12,2,2,0,5,29,98,0,1,40,0,33.1,0,7,0,0,3,8,2,1,1,7,0,0,-1,0,3,3,3,3,1,2,2,1,3,1,1,3,0,0,1,2,0,0,0,0,8,1,2,0,2,2,1,1,3,1,7,0,0,3,2,0,1,1,3,0,0,0
8,5,36,12,2,6,1,5,65,98,98,1,30,2,76.4,0,7,1,7,4,0,1,0,0,1,7,1,2,7,2,3,2,2,2,2,3,2,3,1,1,1,0,0,7,2,1,2,1,0,0,0,4,0,3,4,4,1,2,0,0,3,1,0,2,0,1,9,3,1,1,1
9,2,48,14,2,3,1,1,57,98,98,3,40,2,80.9,0,9,1,8,0,3,3,2,8,0,0,1,2,1,3,2,1,1,1,1,8,3,3,1,1,1,0,1,1,3,7,1,4,0,0,0,2,0,2,6,2,1,2,0,1,2,1,1,0,7,1,0,3,1,3,2
10,3,56,9,2,12,1,1,51,98,0,2,-1,0,36.5,0,0,0,0,1,3,3,3,2,7,0,0,-1,0,0,4,1,1,1,1,8,1,8,1,1,1,0,1,8,3,8,0,0,0,2,1,1,60,2,0,2,1,2,0,7,0,0,9,2,0,1,2,3,0,0,0
11,1,62,17,1,4,2,2,69,25,18,1,45,2,73.9,1,1,2,7,4,0,2,0,0,0,7,2,3,7,1,2,1,1,1,1,3,3,1,2,1,2,0,0,7,3,8,2,3,0,0,0,1,10,1,8,3,1,1,1,1,1,1,0,2,0,1,5,3,1,3,3
12,5,40,19,1,8,0,1,59,23,23,2,40,0,73.3,0,7,0,1,4,3,3,2,2,7,0,0,-1,1,1,5,1,1,1,1,3,1,2,1,1,1,0,0,1,1,8,0,0,0,1,4,4,0,3,0,4,8,6,1,7,0,0,2,2,1,3,4,3,0,0,0
13,9,62,18,2,1,1,2,66,13,0,3,-1,0,80.3,9,9,0,1,4,1,1,2,1,7,0,0,-1,0,0,3,1,1,1,1,1,3,1,1,1,1,0,0,1,3,8,0,0,0,3,5,1,50,3,2,1,1,8,1,7,0,0,2,2,0,0,0,8,0,0,0
14,1,71,16,1,7,4,2,60,17,0,1,-1,0,63.2,1,0,0,1,4,3,1,2,1,7,0,0,-1,0,2,4,1,3,2,1,3,3,1,1,1,1,0,0,1,3,1,0,0,0,2,2,4,0,3,0,4,1,2,1,7,0,0,2,2,0,1,3,3,0,0,0
15,5,58,16,2,2,0,1,33,98,0,2,-1,0,50.5,0,7,0,1,4,4,2,3,2,7,0,0,-1,1,2,4,1,1,1,1,1,3,2,1,1,1,0,8,1,8,1,0,0,0,2,2,1,14,1,5,2,1,2,0,7,0,0,1,2,1,-1,-1,0,0,0,0
16,1,34,18,2,2,4,6,74,98,0,3,-1,2,87,1,7,8,0,0,5,2,3,3,0,0,2,5,1,5,4,1,1,1,1,2,1,1,8,2,2,0,8,1,3,7,8,4,0,0,0,9,0,9,0,9,1,1,1,1,1,1,1,0,7,-1,-1,0,2,1,1
17,5,26,15,1,3,0,2,38,21,17,2,55,2,54.5,0,7,2,0,0,5,2,1,2,1,0,1,0,0,3,5,1,1,8,1,3,2,8,1,8,8,0,1,1,2,7,2,2,0,0,0,9,0,9,5,9,1,3,0,1,2,3,1,0,7,4,3,3,1,2,1
18,1,33,13,2,8,4,6,51,20,0,2,-1,1,63.5,1,0,3,7,1,0,1,0,0,0,7,4,0,7,6,6,2,2,2,1,1,3,3,1,3,3,0,1,7,2,1,3,3,0,0,0,3,0,3,3,1,1,2,1,9,8,8,0,1,8,1,5,3,4,1,1
