instnm,stateabbr,intuitfees,sector
Alaska Pacific University,AK,19610,private
University of Alaska Anchorage,AK,6262,public
University of Alaska Fairbanks,AK,6466,public
University of Alaska Southeast,AK,6669,public
Alabama A & M University,AL,9096,public
Alabama State University,AL,8720,public
Amridge University,AL,6900,private
Athens State University,AL,6120,public
Auburn University,AL,10200,public
Auburn University at Montgomery,AL,9080,public
Birmingham Southern College,AL,31888,private
Concordia College Alabama,AL,10120,private
Faulkner University,AL,18750,private
Huntingdon College,AL,21249,private
Jacksonville State University,AL,8790,public
Judson College,AL,16258,private
Miles College,AL,11604,private
Oakwood University,AL,16720,private
Samford University,AL,27324,private
Spring Hill College,AL,32468,private
Stillman College,AL,15865,private
Talladega College,AL,12509,private
The University of Alabama,AL,9826,public
Troy University,AL,7564,public
Tuskegee University,AL,19570,private
University of Alabama at Birmingham,AL,7510,public
University of Alabama in Huntsville,AL,9158,public
University of Mobile,AL,19475,private
University of Montevallo,AL,10660,public
University of North Alabama,AL,7412,public
University of South Alabama,AL,7188,public
University of West Alabama,AL,8018,public
Arkansas Baptist College,AR,8040,private
Arkansas State University-Main Campus,AR,7720,public
Arkansas Tech University,AR,5862,public
Central Baptist College,AR,13800,private
Harding University,AR,17040,private
Henderson State University,AR,7561,public
Hendrix College,AR,39140,private
John Brown University,AR,23588,private
Lyon College,AR,24300,private
Ouachita Baptist University,AR,23320,private
Philander Smith College,AR,12564,private
Southern Arkansas University Main Campus,AR,7656,public
University of Arkansas,AR,8210,public
University of Arkansas at Little Rock,AR,7432,public
University of Arkansas at Monticello,AR,6082,public
University of Arkansas at Pine Bluff,AR,5956,public
University of Arkansas-Fort Smith,AR,4727,public
University of Central Arkansas,AR,7889,public
University of the Ozarks,AR,24440,private
Williams Baptist College,AR,14360,private
American Indian College of the Assemblies of God Inc,AZ,11700,private
Arizona Christian University,AZ,22466,private
Arizona State University-Tempe,AZ,10127,public
Embry-Riddle Aeronautical University-Prescott,AZ,31648,private
Northern Arizona University,AZ,8728,public
Ottawa University-Phoenix,AZ,11670,private
Prescott College,AZ,26415,private
University of Arizona,AZ,10581,public
Alliant International University,CA,17122,private
American Jewish University,CA,29132,private
Antioch University-Los Angeles,CA,26756,private
Antioch University-Santa Barbara,CA,17416,private
Azusa Pacific University,CA,33096,private
Biola University,CA,33322,private
Brandman University,CA,12200,private
California Baptist University,CA,29422,private
California Institute of Integral Studies,CA,27165,private
California Institute of Technology,CA,43362,private
California Lutheran University,CA,37140,private
California Maritime Academy,CA,6536,public
California Polytechnic State University-San Luis Obispo,CA,8918,public
California State Polytechnic University-Pomona,CA,6904,public
California State University-Bakersfield,CA,6792,public
California State University-Channel Islands,CA,6521,public
California State University-Chico,CA,7002,public
California State University-Dominguez Hills,CA,6139,public
California State University-East Bay,CA,6564,public
California State University-Fresno,CA,6299,public
California State University-Fullerton,CA,6315,public
California State University-Long Beach,CA,6452,public
California State University-Los Angeles,CA,6348,public
California State University-Monterey Bay,CA,5963,public
California State University-Northridge,CA,6549,public
California State University-Sacramento,CA,6648,public
California State University-San Bernardino,CA,6550,public
California State University-San Marcos,CA,7169,public
California State University-Stanislaus,CA,6686,public
Chapman University,CA,45393,private
Claremont McKenna College,CA,47395,private
Coleman University,CA,20800,private
Concordia University-Irvine,CA,30640,private
Dominican University of California,CA,41730,private
Fresno Pacific University,CA,26638,private
Golden Gate University-San Francisco,CA,14640,private
Harvey Mudd College,CA,48594,private
Holy Names University,CA,34488,private
Hope International University,CA,27130,private
Humboldt State University,CA,7171,public
Humphreys College-Stockton and Modesto Campuses,CA,12456,private
John F Kennedy University,CA,23640,private
La Sierra University,CA,29895,private
Lincoln University,CA,9975,private
Loyola Marymount University,CA,41372,private
Menlo College,CA,37520,private
Mills College,CA,42918,private
Monterey Institute of International Studies,CA,36126,private
Mount St Mary's College,CA,34826,private
National University,CA,12384,private
Notre Dame de Namur University,CA,31822,private
Occidental College,CA,47522,private
Pacific Union College,CA,28131,private
Pepperdine University,CA,46692,private
Pitzer College,CA,47020,private
Point Loma Nazarene University,CA,31406,private
Pomona College,CA,45832,private
Providence Christian College,CA,25680,private
Saint Mary's College of California,CA,41380,private
San Diego Christian College,CA,27090,private
San Diego State University (Combined Campuses),CA,6866,public
San Francisco State University,CA,6468,public
San Jose State University,CA,7323,public
Santa Clara University,CA,43812,private
Scripps College,CA,47378,private
Simpson University,CA,24300,private
Soka University of America,CA,30214,private
Sonoma State University,CA,7276,public
